ts,revenue,weeknum,month,season,holiday
2012-02-27,46030.93,1,2,1,0
2012-02-28,48010.7,2,2,1,0
2012-02-29,48123.84,3,2,1,0
2012-03-01,46922.36,4,3,1,0
2012-03-02,41606,5,3,1,0
2012-03-03,1,6,3,1,1
2012-03-04,1,7,3,1,1
2012-03-05,43474.8,1,3,1,0
2012-03-06,41870.1,2,3,1,0
2012-03-07,42947.8,3,3,1,0
2012-03-08,38631.2,4,3,1,0
2012-03-09,39194.84,5,3,1,0
2012-03-10,1,6,3,1,1
2012-03-11,1,7,3,1,1
2012-03-12,43378,1,3,1,0
2012-03-13,42616.48,2,3,1,0
2012-03-14,40331.8,3,3,1,0
2012-03-15,41592.6,4,3,1,0
2012-03-16,40285.2,5,3,1,0
2012-03-17,1,6,3,1,1
2012-03-18,1,7,3,1,1
2012-03-19,45323.4,1,3,1,0
2012-03-20,44696.35,2,3,1,0
2012-03-21,36076.3,3,3,1,0
2012-03-22,42066.3,4,3,1,0
2012-03-23,42087.15,5,3,1,0
2012-03-24,1,6,3,1,1
2012-03-25,1,7,3,1,1
2012-03-26,44766.4,1,3,1,0
2012-03-27,43801,2,3,1,0
2012-03-28,42068.47,3,3,1,0
2012-03-29,41349.2,4,3,1,0
2012-03-30,41181,5,3,1,0
2012-03-31,39742.2,6,3,1,0
2012-04-01,34499.4,7,4,2,0
2012-04-02,1,1,4,2,1
2012-04-03,1,2,4,2,1
2012-04-04,1,3,4,2,1
2012-04-05,38094.1,4,4,2,0
2012-04-06,37790.15,5,4,2,0
2012-04-07,1,6,4,2,1
2012-04-08,1,7,4,2,1
2012-04-09,46168,1,4,2,0
2012-04-10,48941.23,2,4,2,0
2012-04-11,45663.8,3,4,2,0
2012-04-12,45083.5,4,4,2,0
2012-04-13,42126.9,5,4,2,0
2012-04-14,1,6,4,2,1
2012-04-15,1,7,4,2,1
2012-04-16,44923.1,1,4,2,0
2012-04-17,44123.6,2,4,2,0
2012-04-18,44056.2,3,4,2,0
2012-04-19,44027.7,4,4,2,0
2012-04-20,44643,5,4,2,0
2012-04-21,1,6,4,2,1
2012-04-22,1,7,4,2,1
2012-04-23,43979.79,1,4,2,0
2012-04-24,50124.7,2,4,2,0
2012-04-25,47791.2,3,4,2,0
2012-04-26,45385.25,4,4,2,0
2012-04-27,45183.5,5,4,2,0
2012-04-28,33704.2,6,4,2,0
2012-04-29,1,7,4,2,1
2012-04-30,1,1,4,2,1
2012-05-01,1,2,5,2,1
2012-05-02,41276.2,3,5,2,0
2012-05-03,43456.9,4,5,2,0
2012-05-04,38141.45,5,5,2,0
2012-05-05,1,6,5,2,1
2012-05-06,1,7,5,2,1
2012-05-07,44372.75,1,5,2,0
2012-05-08,45347.55,2,5,2,0
2012-05-09,46951.1,3,5,2,0
2012-05-10,45035.7,4,5,2,0
2012-05-11,42858.8,5,5,2,0
2012-05-12,1,6,5,2,1
2012-05-13,1,7,5,2,1
2012-05-14,45091.2,1,5,2,0
2012-05-15,44531.5,2,5,2,0
2012-05-16,44122.7,3,5,2,0
2012-05-17,43814.3,4,5,2,0
2012-05-18,42037.6,5,5,2,0
2012-05-19,1,6,5,2,1
2012-05-20,1,7,5,2,1
2012-05-21,42164.36,1,5,2,0
2012-05-22,42339.73,2,5,2,0
2012-05-23,42543.03,3,5,2,0
2012-05-24,45926.5,4,5,2,0
2012-05-25,39923.1,5,5,2,0
2012-05-26,1,6,5,2,1
2012-05-27,1,7,5,2,1
2012-05-28,42146.7,1,5,2,0
2012-05-29,43455.9,2,5,2,0
2012-05-30,44412.3,3,5,2,0
2012-05-31,47446.9,4,5,2,0
2012-06-01,40272.4,5,6,2,0
2012-06-02,1,6,6,2,1
2012-06-03,1,7,6,2,1
2012-06-04,41083.45,1,6,2,0
2012-06-05,42053.1,2,6,2,0
2012-06-06,43604.75,3,6,2,0
2012-06-07,42143.2,4,6,2,0
2012-06-08,42551.4,5,6,2,0
2012-06-09,1,6,6,2,1
2012-06-10,1,7,6,2,1
2012-06-11,42617.85,1,6,2,0
2012-06-12,43946.63,2,6,2,0
2012-06-13,43550.95,3,6,2,0
2012-06-14,37619.25,4,6,2,0
2012-06-15,36642.3,5,6,2,0
2012-06-16,1,6,6,2,1
2012-06-17,1,7,6,2,1
2012-06-18,41132.6,1,6,2,0
2012-06-19,42204.25,2,6,2,0
2012-06-20,44502.6,3,6,2,0
2012-06-21,36122.2,4,6,2,0
2012-06-22,1,5,6,2,1
2012-06-23,1,6,6,2,1
2012-06-24,1,7,6,2,1
2012-06-25,38392.3,1,6,2,0
2012-06-26,49167.25,2,6,2,0
2012-06-27,39128.4,3,6,2,0
2012-06-28,44471.1,4,6,2,0
2012-06-29,38287.9,5,6,2,0
2012-06-30,1,6,6,2,1
2012-07-01,1,7,7,3,1
2012-07-02,40949.1,1,7,3,0
2012-07-03,41167.8,2,7,3,0
2012-07-04,42136.4,3,7,3,0
2012-07-05,33139.5,4,7,3,0
2012-07-06,30593.7,5,7,3,0
2012-07-07,1,6,7,3,1
2012-07-08,1,7,7,3,1
2012-07-09,42621.4,1,7,3,0
2012-07-10,48084.7,2,7,3,0
2012-07-11,47726.5,3,7,3,0
2012-07-12,45546.4,4,7,3,0
2012-07-13,42993.5,5,7,3,0
2012-07-14,1,6,7,3,1
2012-07-15,1,7,7,3,1
2012-07-16,48583.3,1,7,3,0
2012-07-17,47989,2,7,3,0
2012-07-18,47208.3,3,7,3,0
2012-07-19,47277.3,4,7,3,0
2012-07-20,44724.8,5,7,3,0
2012-07-21,1,6,7,3,1
2012-07-22,1,7,7,3,1
2012-07-23,46986.7,1,7,3,0
2012-07-24,46600.4,2,7,3,0
2012-07-25,44960.1,3,7,3,0
2012-07-26,49165.98,4,7,3,0
2012-07-27,44197.5,5,7,3,0
2012-07-28,1,6,7,3,1
2012-07-29,1,7,7,3,1
2012-07-30,48433.4,1,7,3,0
2012-07-31,49555.65,2,7,3,0
2012-08-01,50419.8,3,8,3,0
2012-08-02,50411.9,4,8,3,0
2012-08-03,48954.5,5,8,3,0
2012-08-04,1,6,8,3,1
2012-08-05,1,7,8,3,1
2012-08-06,49723.6,1,8,3,0
2012-08-07,51595.4,2,8,3,0
2012-08-08,50693.8,3,8,3,0
2012-08-09,50717.4,4,8,3,0
2012-08-10,42436.5,5,8,3,0
2012-08-11,1,6,8,3,1
2012-08-12,1,7,8,3,1
2012-08-13,46872,1,8,3,0
2012-08-14,49047.7,2,8,3,0
2012-08-15,48824.5,3,8,3,0
2012-08-16,48165.8,4,8,3,0
2012-08-17,54491.9,5,8,3,0
2012-08-18,1,6,8,3,1
2012-08-19,1,7,8,3,1
2012-08-20,49177.4,1,8,3,0
2012-08-21,48540.3,2,8,3,0
2012-08-22,48192.5,3,8,3,0
2012-08-23,43232.9,4,8,3,0
2012-08-24,42073,5,8,3,0
2012-08-25,1,6,8,3,1
2012-08-26,1,7,8,3,1
2012-08-27,48495.9,1,8,3,0
2012-08-28,48496.4,2,8,3,0
2012-08-29,46249.5,3,8,3,0
2012-08-30,47173,4,8,3,0
2012-08-31,44247.8,5,8,3,0
2012-09-01,1,6,9,3,1
2012-09-02,1,7,9,3,1
2012-09-03,48902.7,1,9,3,0
2012-09-04,46033.5,2,9,3,0
2012-09-05,48538,3,9,3,0
2012-09-06,47989.4,4,9,3,0
2012-09-07,43813.9,5,9,3,0
2012-09-08,1,6,9,3,1
2012-09-09,1,7,9,3,1
2012-09-10,45851,1,9,3,0
2012-09-11,49384.1,2,9,3,0
2012-09-12,46354.5,3,9,3,0
2012-09-13,44259.1,4,9,3,0
2012-09-14,43669,5,9,3,0
2012-09-15,1,6,9,3,1
2012-09-16,1,7,9,3,1
2012-09-17,32210,1,9,3,0
2012-09-18,32375.5,2,9,3,0
2012-09-19,32366,3,9,3,0
2012-09-20,43638.9,4,9,3,0
2012-09-21,40774.6,5,9,3,0
2012-09-22,1,6,9,3,1
2012-09-23,1,7,9,3,1
2012-09-24,45338.15,1,9,3,0
2012-09-25,47888.37,2,9,3,0
2012-09-26,53982,3,9,3,0
2012-09-27,42509.7,4,9,3,0
2012-09-28,41397.2,5,9,3,0
2012-09-29,27164.7,6,9,3,0
2012-09-30,1,7,9,3,1
2012-10-01,1,1,10,4,1
2012-10-02,1,2,10,4,1
2012-10-03,1,3,10,4,1
2012-10-04,1,4,10,4,1
2012-10-05,1,5,10,4,1
2012-10-06,1,6,10,4,1
2012-10-07,1,7,10,4,1
2012-10-08,37783.5,1,10,4,0
2012-10-09,42896.9,2,10,4,0
2012-10-10,43303.5,3,10,4,0
2012-10-11,42716.5,4,10,4,0
2012-10-12,41429,5,10,4,0
2012-10-13,1,6,10,4,1
2012-10-14,1,7,10,4,1
2012-10-15,45650.6,1,10,4,0
2012-10-16,48309,2,10,4,0
2012-10-17,46122.4,3,10,4,0
2012-10-18,42209.4,4,10,4,0
2012-10-19,36865.4,5,10,4,0
2012-10-20,1,6,10,4,1
2012-10-21,1,7,10,4,1
2012-10-22,42542,1,10,4,0
2012-10-23,45283.35,2,10,4,0
2012-10-24,43979.5,3,10,4,0
2012-10-25,43157,4,10,4,0
2012-10-26,43505.4,5,10,4,0
2012-10-27,1,6,10,4,1
2012-10-28,1,7,10,4,1
2012-10-29,39996.5,1,10,4,0
2012-10-30,41687.31,2,10,4,0
2012-10-31,41500,3,10,4,0
2012-11-01,38297,4,11,4,0
2012-11-02,41571.47,5,11,4,0
2012-11-03,1,6,11,4,1
2012-11-04,1,7,11,4,1
2012-11-05,46356.5,1,11,4,0
2012-11-06,41640.5,2,11,4,0
2012-11-07,61700.96,3,11,4,0
2012-11-08,43889.3,4,11,4,0
2012-11-09,34595.8,5,11,4,0
2012-11-10,1,6,11,4,1
2012-11-11,1,7,11,4,1
2012-11-12,38734.52,1,11,4,0
2012-11-13,43742.7,2,11,4,0
2012-11-14,42309.6,3,11,4,0
2012-11-15,44329.6,4,11,4,0
2012-11-16,36612.4,5,11,4,0
2012-11-17,1,6,11,4,1
2012-11-18,1,7,11,4,1
2012-11-19,47338.4,1,11,4,0
2012-11-20,46282.2,2,11,4,0
2012-11-21,45146.9,3,11,4,0
2012-11-22,44013.9,4,11,4,0
2012-11-23,41966.4,5,11,4,0
2012-11-24,1,6,11,4,1
2012-11-25,1,7,11,4,1
2012-11-26,44572,1,11,4,0
2012-11-27,46222.75,2,11,4,0
2012-11-28,45712.9,3,11,4,0
2012-11-29,45234.9,4,11,4,0
2012-11-30,43310.8,5,11,4,0
2012-12-01,1,6,12,4,1
2012-12-02,1,7,12,4,1
2012-12-03,44715,1,12,4,0
2012-12-04,46032.4,2,12,4,0
2012-12-05,47528.6,3,12,4,0
2012-12-06,46016.2,4,12,4,0
2012-12-07,47799.3,5,12,4,0
2012-12-08,1,6,12,4,1
2012-12-09,1,7,12,4,1
2012-12-10,50205.1,1,12,4,0
2012-12-11,52161,2,12,4,0
2012-12-12,55994.4,3,12,4,0
2012-12-13,45430,4,12,4,0
2012-12-14,45473.2,5,12,4,0
2012-12-15,1,6,12,4,1
2012-12-16,1,7,12,4,1
2012-12-17,50016.8,1,12,4,0
2012-12-18,49588.3,2,12,4,0
2012-12-19,48770.8,3,12,4,0
2012-12-20,44756.5,4,12,4,0
2012-12-21,42636.7,5,12,4,0
2012-12-22,1,6,12,4,1
2012-12-23,1,7,12,4,1
2012-12-24,41258.3,1,12,4,0
2012-12-25,40713.1,2,12,4,0
2012-12-26,43390.7,3,12,4,0
2012-12-27,39581.89,4,12,4,0
2012-12-28,35409.3,5,12,4,0
2012-12-29,1,6,12,4,1
2012-12-30,1,7,12,4,1
2012-12-31,21228,1,12,4,0
2013-01-01,1,2,1,1,1
2013-01-02,1,3,1,1,1
2013-01-03,1,4,1,1,1
2013-01-04,43860.4,5,1,1,0
2013-01-05,44205.5,6,1,1,0
2013-01-06,42642.48,7,1,1,0
2013-01-07,47354.65,1,1,1,0
2013-01-08,50807.1,2,1,1,0
2013-01-09,49508.7,3,1,1,0
2013-01-10,49588,4,1,1,0
2013-01-11,45941.8,5,1,1,0
2013-01-12,1,6,1,1,1
2013-01-13,1,7,1,1,1
2013-01-14,50472.2,1,1,1,0
